Term,29c23697-0a63-493b-9ced-500612046e42,41ee531a-8d45-4067-8c0a-58e50eac58e7,5a739736-7a03-431e-8536-248d5f5eb218,4e4b68e7-e9f8-406a-b477-297d781fa67d,910bab8a-7927-4b42-9b62-b709ea0b7823,cd8531c9-894e-4e9d-bbc9-8471b99c11e3,a57303f3-c5ef-4418-ba3f-fde8e1596e03,8aa78510-515b-489f-9ecb-89e100f370d1,eed2c0ed-ca64-4bf3-b811-2c277b39e82b,33497299-202e-4799-bc63-a3bcf11c4c2a,
anointed,0,1,0,1,0,0,0,1,0,0,
goods,0,1,1,0,0,0,0,0,0,0,
had,1,1,1,1,1,1,1,1,1,1,
secure,1,1,1,1,1,1,1,1,1,1,
warproof,0,0,0,0,0,0,0,0,1,0,
guided,0,0,0,0,0,0,1,0,0,0,
hag,0,1,0,0,0,1,0,0,0,0,
reposes,1,1,0,0,0,0,0,0,0,0,
bedford,0,0,0,0,0,0,0,0,1,0,
guides,0,0,0,0,1,0,0,0,0,1,
hal,0,0,0,1,0,0,0,0,0,0,
guider,0,0,0,0,0,0,1,0,0,0,
nunnery,1,0,0,0,0,0,0,0,0,0,
late,1,1,1,0,1,1,1,1,1,1,
school,1,0,0,0,0,1,0,1,0,1,
ham,1,0,0,0,0,0,0,0,0,0,
differing,0,0,0,0,1,0,0,0,0,0,
hap,1,1,1,0,1,1,1,1,0,0,
hat,1,0,1,0,0,0,1,0,0,0,
has,1,1,1,1,1,1,1,1,1,1,
lath,0,0,0,1,0,1,0,0,0,0,
wast,0,1,0,1,1,1,1,1,0,1,
hay,0,0,0,0,0,1,0,1,0,0,
sighed,0,0,0,0,0,0,1,0,0,0,
last,1,1,1,1,1,1,1,1,1,1,
scalingladders,0,0,0,0,0,0,0,0,1,0,
wary,1,0,0,0,0,1,0,0,0,1,
weighs,0,0,0,0,1,0,0,0,1,0,
menas,0,0,0,0,1,0,0,0,0,0,
lass,0,0,0,0,1,0,0,0,0,0,
wash,1,1,1,0,1,1,1,0,1,1,
weight,0,1,0,1,1,0,0,1,1,1,
solicitor,0,0,0,0,0,0,0,0,0,1,
dissemble,0,1,0,0,0,0,1,0,0,1,
clothofgold,0,0,0,0,1,0,0,0,0,0,
bloodless,0,1,0,0,0,0,0,0,0,0,
warn,0,1,0,0,0,0,0,0,0,0,
warm,1,1,0,1,1,1,1,1,1,1,
checks,1,1,1,1,1,1,1,1,1,1,
measure,1,0,1,0,1,1,1,1,1,1,
lash,1,1,0,0,0,1,0,1,0,1,
others’,0,1,0,0,1,0,0,0,0,1,
weighd,1,0,0,0,0,0,0,0,0,0,
distemprature,0,0,0,1,0,0,0,0,0,0,
carbuncle,0,0,0,0,0,0,1,1,0,0,
wart,1,0,0,0,0,0,0,0,0,0,
wars,0,1,1,1,1,0,1,1,1,1,
updated,1,1,1,1,1,1,1,1,1,1,
swim,0,0,0,1,0,0,0,1,0,0,
frontlet,0,0,0,0,0,0,0,1,0,0,
injurious,0,0,1,0,1,0,1,0,0,0,
steads,0,0,0,0,0,1,0,0,0,0,
toads,0,1,0,0,0,0,0,0,0,1,
o’erpeer,0,0,0,0,0,0,1,0,0,0,
prank,0,0,0,0,0,0,1,0,0,0,
commune,1,0,0,0,0,0,0,0,0,0,
impossible,0,0,1,0,1,0,0,1,1,1,
stuck50,1,0,0,0,0,0,0,0,0,0,
mends,0,0,0,0,1,0,0,0,0,0,
harshness,0,0,0,0,0,0,0,1,0,0,
subject’s,0,0,0,0,0,0,0,0,1,0,
dried,1,0,0,1,1,1,0,1,0,0,
brute,1,0,0,0,0,0,0,0,0,0,
indues,0,0,0,0,0,0,0,0,0,1,
wave,0,0,0,0,0,0,1,0,0,0,
“judgement”,0,1,0,0,0,0,0,0,0,0,
squabble,0,0,0,0,0,0,0,0,0,1,
yesterday,0,0,0,0,0,0,1,0,1,1,
weapon,1,1,0,0,0,1,0,1,0,1,
disdains,0,1,0,0,0,0,1,0,0,0,
papists,1,0,0,0,0,0,0,0,0,0,
courageous,0,1,0,0,1,1,0,0,0,0,
awaking,0,0,0,0,0,1,0,0,0,0,
venomous,0,0,0,0,1,0,1,0,0,0,
usurping,0,1,0,0,0,0,0,0,0,0,
ends,0,1,0,1,1,1,1,1,1,0,
denying,0,1,0,0,0,0,0,0,1,0,
manent,0,0,0,1,0,0,0,0,0,0,
contemptuously,0,0,1,0,0,0,0,0,0,0,
feeders,0,0,0,0,1,0,0,0,0,0,
war’s,0,0,0,0,0,0,1,0,0,0,
spider’s,0,0,0,0,0,1,0,0,0,0,
gunstones,0,0,0,0,0,0,0,0,1,0,
early,0,1,1,1,1,1,0,0,1,1,
earls,0,1,0,0,0,0,0,0,1,0,
commissioners,0,0,0,0,0,0,0,0,1,0,
disease,0,0,0,0,0,0,1,1,0,0,
law9,1,0,0,0,0,0,0,0,0,0,
napless,0,0,0,0,0,0,1,0,0,0,
intruder,0,0,1,0,0,0,0,0,0,0,
eaters,0,0,0,0,0,0,1,0,0,0,
lowering,0,0,0,0,1,1,0,0,0,0,
heartstring,0,0,0,0,0,0,0,0,1,0,
tediously,0,0,0,0,0,0,0,0,1,0,
wager,1,0,0,0,0,0,1,0,0,1,
dismiss’d,0,0,0,0,0,0,0,1,0,0,
alike,0,0,0,0,1,1,1,0,1,0,
wages,0,0,1,0,0,0,0,1,0,0,
colour,1,1,1,1,1,0,1,1,1,0,
laud,0,0,0,1,0,0,0,0,0,0,
delightful,0,1,0,0,0,0,0,0,0,0,
observing,0,0,0,0,0,0,0,0,0,1,
indued,0,0,0,0,0,0,0,0,1,0,
then—,0,0,0,0,0,0,0,1,0,0,
wheeled,0,1,0,0,1,0,0,0,0,0,
dispraising,0,0,0,1,0,0,0,0,0,0,
dirges,0,0,0,0,0,1,0,0,0,0,
sickness,1,1,0,1,1,0,0,1,1,0,
hee,0,0,1,0,0,0,0,0,0,0,
alice,0,0,0,0,0,0,0,0,1,0,
outfrown,0,0,0,0,0,0,0,1,0,0,
topsyturvy,0,0,0,1,0,0,0,0,0,0,
digger,1,0,0,0,0,0,0,0,0,0,
prate,1,1,0,0,0,0,1,0,0,1,
hen,0,0,0,1,0,0,1,0,0,0,
hem,0,0,0,1,0,0,0,0,0,1,
way3,1,0,0,0,0,0,0,0,0,0,
her,1,1,1,1,1,1,1,1,1,1,
universities,1,0,1,0,0,0,0,0,0,0,
hes,1,0,1,0,0,0,0,0,0,0,
bolds,0,0,0,0,0,0,0,1,0,0,
hew,0,0,0,0,0,0,1,0,0,0,
selfneglecting,0,0,0,0,0,0,0,0,1,0,
deprivd,1,0,0,1,0,0,0,0,0,0,
deprive,0,0,0,0,0,0,0,1,0,0,
’twixt,0,0,0,0,1,1,1,1,1,1,
zounds,0,1,0,1,0,1,0,0,0,1,
laws,1,1,1,1,1,1,1,1,1,1,
having,1,1,1,1,1,1,1,1,1,1,
russian,0,0,0,0,0,0,0,0,1,0,
wisheth,0,0,0,1,0,0,0,0,0,0,
bow’d,0,0,0,0,0,1,0,0,0,0,
lesson,1,0,1,0,0,0,0,0,0,0,
wawl,0,0,0,0,0,0,0,1,0,0,
christian11,1,0,0,0,0,0,0,0,0,0,
bowels,0,1,0,1,0,0,1,0,1,0,
1503,0,1,0,0,0,0,0,0,0,0,
beautywaning,0,1,0,0,0,0,0,0,0,0,
brunt,0,0,0,0,0,0,1,0,0,0,
1502,1,0,0,0,0,0,0,0,0,0,
1500,1,1,1,1,1,1,1,1,1,1,
doublet,1,0,1,1,0,1,0,0,1,0,
know’t—,0,0,0,0,1,0,0,0,0,0,
passenger,0,0,1,0,0,0,0,0,0,0,
forestall,1,0,0,0,0,0,0,0,0,0,
corporal,0,0,0,0,0,0,0,0,1,0,
armourer,0,0,0,0,1,0,0,0,0,0,
baptista,1,0,0,0,0,0,0,0,0,0,
worship,0,1,1,1,1,1,0,0,1,0,
lawn,0,0,0,0,0,0,0,0,0,1,
cruelhearted,0,0,1,0,0,0,0,0,0,0,
acold,0,0,0,0,0,0,0,1,0,0,
jocund,1,1,0,0,0,1,0,0,0,0,
mauritania,0,0,0,0,0,0,0,0,0,1,
baskets,0,0,0,0,0,1,0,0,0,0,
unpleasing,0,1,0,0,0,1,0,0,0,0,
doubled,0,0,0,0,1,0,1,0,0,0,
consecrated,1,0,0,0,0,0,0,0,0,0,
lazy,0,0,0,0,0,1,0,0,1,0,
mov’d,0,0,0,0,0,1,0,1,0,1,
confirmed,1,1,1,1,1,1,1,1,1,1,
fault—reveal’d,0,0,0,0,0,0,0,1,0,0,
alien,0,0,0,1,0,0,0,0,0,0,
smart,1,0,0,0,0,0,1,0,0,0,
sagittary,0,0,0,0,0,0,0,0,0,1,
personage,1,0,0,0,0,0,0,0,0,0,
1513,0,0,0,0,0,1,0,0,0,0,
ways,1,1,1,1,1,1,1,1,1,1,
maidenheads,0,0,0,1,0,1,0,0,0,0,
ungravely,0,0,0,0,0,0,1,0,0,0,
bussing,0,0,0,0,0,0,1,0,0,0,
editor,1,0,1,0,0,0,0,0,0,0,
reverso,0,0,0,0,0,1,0,0,0,0,
palates,0,0,0,0,1,0,1,0,0,1,
consistent,1,0,0,0,0,0,0,0,0,0,
blazoning,0,0,0,0,0,0,0,0,0,1,
unskilful,1,0,0,0,0,0,0,0,0,1,
reverse,0,0,0,0,0,1,0,1,0,0,
1521,0,0,0,0,0,0,0,0,1,0,
fardellus,1,0,0,0,0,0,0,0,0,0,
chat,0,0,0,1,0,1,0,0,0,0,
cudgelled,0,0,0,0,0,0,0,0,0,1,
lays,1,1,0,0,0,0,0,0,0,0,
cham,0,0,0,1,0,0,0,0,0,0,
small,1,1,1,1,1,1,1,1,1,1,
gallant,0,0,0,1,0,1,0,0,1,0,
beam,0,0,0,0,0,0,1,0,0,0,
hid,1,1,0,1,1,1,0,1,0,1,
mak’st,0,1,0,0,0,0,0,1,1,1,
hie,0,1,1,1,1,1,1,0,1,1,
before,1,1,1,1,1,1,1,1,1,1,
fiction,1,0,0,0,0,0,0,0,0,0,
margent,0,0,0,0,0,1,0,0,0,0,
mead,0,0,0,0,0,0,0,0,1,0,
palmy17,1,0,0,0,0,0,0,0,0,0,
figuratively,1,0,0,0,0,0,0,0,0,0,
him,1,1,1,1,1,1,1,1,1,1,
hip,0,0,0,0,0,0,0,0,0,1,
oerwalk,0,0,0,1,0,0,0,0,0,0,
1535,0,0,0,0,0,0,1,0,0,0,
hit,1,1,0,1,0,1,0,1,0,0,
1534,0,0,0,0,1,0,0,0,0,0,
his,1,1,1,1,1,1,1,1,1,1,
1532,0,0,0,0,0,0,0,1,0,0,
1531,0,0,0,0,0,0,0,0,0,1,
burton,0,0,0,1,0,0,0,0,0,0,
beat,1,1,0,1,1,1,1,1,1,1,
eglamour,0,0,1,0,0,0,0,0,0,0,
bear,1,1,1,1,1,1,1,1,1,1,
grandfather,1,0,1,1,0,0,0,0,1,0,
letst,0,0,0,1,0,0,0,0,0,0,
trueconfirmed,0,0,1,0,0,0,0,0,0,0,
armorial,1,0,0,0,0,0,0,0,0,0,
hostess,0,0,1,1,0,0,0,0,1,0,
croak,0,0,0,0,0,0,0,1,0,0,
exclamations,0,1,0,0,0,0,0,0,0,0,
prays,0,1,0,0,1,0,0,0,1,1,
vigilant,0,0,0,1,0,0,1,0,0,0,
heureux,0,0,0,0,0,0,0,0,1,0,
indignations,0,0,0,0,0,0,0,0,1,0,
meetly,0,0,0,0,1,0,0,0,0,0,
bellow’d,0,0,0,0,0,0,0,1,0,0,
grossly,1,1,0,1,1,0,0,1,1,1,
valorous,0,0,0,0,0,0,0,0,1,0,
blackfaced,0,1,0,0,0,0,0,0,0,0,
1547,1,0,0,0,0,0,0,0,0,0,
square,0,0,0,0,1,0,0,1,0,0,
darkling,0,0,0,0,1,0,0,1,0,0,
misconstrued,0,0,0,1,0,0,0,0,0,0,
womb’s,0,0,0,0,0,0,1,0,0,0,
beck,1,0,0,0,1,0,0,0,0,0,
foppery,0,0,0,0,0,0,0,1,0,0,
swum,0,0,1,0,0,0,0,0,0,0,
steals,1,0,1,0,0,1,0,0,0,1,
shepherd,0,0,1,0,0,0,1,1,0,0,
allusion,1,0,0,0,0,0,0,0,0,0,
beguile,1,0,0,1,0,0,0,1,0,1,
wolves,0,0,0,0,0,0,0,1,1,1,
uttermost,0,0,0,0,0,0,0,0,1,1,
prave,0,0,0,0,0,0,0,0,1,0,
visits,1,0,0,0,0,0,0,0,1,0,
diverted,1,0,0,0,0,0,0,0,0,0,
lender,1,0,0,0,0,0,0,0,0,0,
sounds,0,1,0,1,1,1,1,1,1,1,
stripling,0,1,1,0,0,0,0,0,0,0,
alias,0,0,0,0,0,0,1,0,0,0,
meby,0,0,1,0,0,0,0,0,0,0,
wracks,0,1,0,0,0,0,0,0,0,0,
deserve,1,1,1,0,1,0,1,1,0,1,
restore,1,1,0,1,0,0,0,0,0,1,
arithmetic—why,0,0,0,0,0,1,0,0,0,0,
wishers,0,0,0,0,1,0,0,0,0,0,
them—,0,1,0,0,0,0,1,0,0,0,
feebling,0,0,0,0,0,0,1,0,0,0,
dès,0,0,0,0,0,0,0,0,1,0,
meal,0,0,0,0,0,0,1,0,0,0,
debts,0,0,0,0,0,0,0,0,1,0,
vagabonds,0,1,0,0,0,0,0,0,0,0,
mean,1,1,1,1,1,1,1,1,1,1,
hastings’,0,1,0,0,0,0,0,0,0,0,
meat,1,0,1,0,1,1,1,1,0,1,
citygate,0,0,1,0,0,0,0,0,0,0,
persisted,0,0,0,0,1,0,0,0,0,0,
cher,0,0,0,0,0,0,0,0,1,0,
ferret,0,0,0,0,0,0,0,0,1,0,
attendance,0,1,0,0,0,0,0,1,0,0,
romeo,0,0,0,0,0,1,0,0,0,0,
monstrous,1,1,1,1,1,0,1,1,0,1,
flinty,0,0,0,0,0,0,0,0,0,1,
13th,1,0,0,0,0,0,0,0,0,0,
been,1,1,1,1,1,1,1,1,1,1,
trucklebed,0,0,0,0,0,1,0,0,0,0,
meed,0,1,1,0,0,0,1,0,0,0,
jumps,0,0,0,1,0,0,0,0,0,0,
1582,1,0,0,0,0,0,0,0,0,0,
beef,0,0,0,1,0,0,0,0,1,0,
1581,1,0,0,0,0,0,0,0,0,0,
stride,0,0,0,0,0,0,1,0,0,0,
meek,0,0,0,0,1,0,0,0,0,0,
advance,1,1,0,0,1,1,1,0,1,0,
attendants,1,1,1,1,1,1,1,1,1,1,
scolding,1,0,0,0,0,0,0,0,0,0,
slander—tybalt,0,0,0,0,0,1,0,0,0,0,
wheneer,0,0,0,1,0,0,0,0,0,0,
flints,1,0,0,0,0,0,0,0,0,0,
strict,1,1,1,1,1,1,1,1,1,1,
beer,1,0,0,0,0,0,0,0,0,1,
unhair,0,0,0,0,1,0,0,0,0,0,
jointure,0,0,0,0,0,1,0,0,0,0,
bees,0,0,1,0,0,0,0,0,0,0,
slaughter’d,0,0,0,0,0,1,0,0,0,0,
hellish,0,1,0,0,0,0,0,0,0,1,
loppd,0,0,0,1,0,0,0,0,0,0,
preference,1,0,0,0,0,0,0,0,0,0,
delighted,0,0,0,0,0,0,0,0,0,1,
maymorn,0,0,0,0,0,0,0,0,1,0,
mede,0,0,0,0,1,0,0,0,0,0,
sectary,0,0,0,0,0,0,0,1,0,0,
arithmetician,0,0,0,0,0,0,0,0,0,1,
disregarded,1,0,0,0,0,0,0,0,0,0,
honeyed,0,0,0,0,0,0,0,0,1,0,
dealt,0,1,0,1,1,0,0,0,0,1,
timorous,0,1,0,0,0,0,0,0,0,1,
hob,0,0,0,0,0,0,1,0,0,0,
beds,0,0,0,0,1,0,0,0,0,1,
organ,1,0,0,0,0,0,0,0,0,0,
now—no,0,0,0,0,1,0,0,0,0,0,
hog,0,1,0,0,0,0,0,1,0,0,
begs,0,0,0,0,1,0,0,1,0,0,
delay’d,0,0,0,0,0,0,0,0,0,1,
hyperbolical,0,0,0,0,0,0,1,0,0,0,
yaughan,1,0,0,0,0,0,0,0,0,0,
gardens,0,0,0,0,0,0,0,0,0,1,
hop,0,0,0,0,1,1,0,0,0,0,
cited,0,1,1,0,0,0,0,0,1,0,
bedward,0,0,0,0,0,0,1,0,0,0,
hoo,0,0,0,0,1,0,1,0,0,0,
break79,1,0,0,0,0,0,0,0,0,0,
meanest,0,0,0,0,1,1,1,1,0,0,
embarquements,0,0,0,0,0,0,1,0,0,0,
hor,1,0,0,0,0,0,0,0,0,0,
restores,0,0,0,0,1,0,0,0,0,0,
liquor,1,0,1,0,0,1,0,0,1,0,
hot,1,1,1,1,1,1,1,1,1,1,
unsafe,0,0,0,0,0,0,0,0,0,1,
vanity,0,1,0,1,0,1,0,1,1,1,
interior,0,1,0,0,0,0,1,0,0,0,
how,1,1,1,1,1,1,1,1,1,1,
1598,0,0,0,1,0,0,0,0,0,0,
gutenbergs,0,0,1,1,0,0,0,0,0,0,
alongfor,1,0,0,0,0,0,0,0,0,0,
1595,1,0,0,0,0,0,0,0,0,0,
handiwork,0,1,0,0,0,0,0,0,0,0,
meaneth,0,0,1,0,0,0,0,0,0,0,
pennyworth,0,0,0,1,0,0,0,0,0,0,
chin,0,0,0,1,0,0,1,1,1,0,
allycholly,0,0,1,0,0,0,0,0,0,0,
wormholes,0,0,0,0,0,0,0,0,1,0,
estate32,1,0,0,0,0,0,0,0,0,0,
subscrib’d,0,0,0,0,0,0,0,1,0,0,
scarves,0,0,0,0,0,0,1,0,0,0,
conjuration,0,0,0,0,0,1,0,0,1,1,
upbraided,0,0,0,0,0,0,0,0,1,0,
chid,0,0,1,1,1,0,0,0,0,1,
blast,1,0,0,0,1,0,1,1,1,1,
vulture,0,0,0,0,0,0,0,1,0,0,
lurched,0,0,0,0,0,0,1,0,0,0,
repel,1,0,0,0,0,0,0,0,0,0,
advantages,0,0,0,1,0,0,0,1,1,1,
meet,1,1,1,1,1,1,1,1,1,1,
answer,1,1,1,1,1,1,1,1,1,1,
regarded,0,0,1,1,0,0,1,0,0,0,
underscore,1,0,0,0,0,0,0,0,0,0,
interception,0,0,0,0,0,0,0,0,1,0,
ambling,0,1,0,0,0,1,0,0,0,0,
noday,0,0,1,0,0,0,0,0,0,0,
wizard,0,1,0,0,0,0,0,0,0,0,
bolder,0,1,1,0,0,0,1,0,0,0,
cowslip,0,0,0,0,0,0,0,0,1,0,
passions,1,0,0,0,1,0,1,0,0,0,
th’affliction,0,0,0,0,0,0,0,1,0,0,
putting,0,0,0,0,0,1,1,1,1,1,
doubt—that,0,0,0,0,0,0,1,0,0,0,
meeter,0,0,0,0,1,0,0,0,1,0,
enmesh,0,0,0,0,0,0,0,0,0,1,
interims,0,0,0,0,0,0,1,0,0,0,
unhacked,0,0,0,0,1,0,0,0,0,0,
can’st,0,0,0,0,0,0,1,0,0,0,
reply,1,1,1,1,1,1,0,0,0,0,
world—why,0,0,0,0,0,1,0,0,0,1,
vanish,0,0,0,0,1,0,0,0,0,1,
unto’t,0,0,0,0,1,0,0,0,0,0,
dolphin,0,0,0,0,0,0,0,1,0,0,
untalk’d,0,0,0,0,0,1,0,0,0,0,
mehe,0,0,1,0,0,0,0,0,0,0,
trough,0,1,0,0,0,0,0,0,0,0,
pathways,0,0,0,0,0,1,0,0,0,0,
abed,0,0,0,0,0,1,1,0,1,1,
selfloving,0,0,0,0,0,0,1,0,0,0,
vision,1,0,0,0,0,0,0,0,0,0,
rosencrantz,1,0,0,0,0,0,0,0,0,0,
blame,1,1,0,1,0,1,1,1,1,1,
reckon,1,0,1,0,0,0,0,0,1,0,
confusion,1,0,0,1,1,0,1,1,0,0,
blank,1,0,0,0,0,0,0,1,0,1,
enschedul’d,0,0,0,0,0,0,0,0,1,0,
flaxen,1,0,0,0,0,0,0,0,0,0,
macmorris,0,0,0,0,0,0,0,0,1,0,
sceptres,0,0,0,0,1,0,0,0,0,0,
unexamined,0,1,0,0,0,0,0,0,0,0,
partisans,0,0,0,0,0,1,0,0,0,0,
swallowed,0,0,0,1,1,1,0,0,1,0,
contraction,1,0,0,0,0,0,0,0,0,0,
unfinished,0,1,0,0,0,0,0,0,0,0,
noddy,0,0,1,0,0,0,0,0,0,0,
annexed,0,0,0,0,1,0,0,0,0,0,
cital,0,0,0,1,0,0,0,0,0,0,
shameful,1,1,0,0,1,0,0,1,0,0,
vapour,1,1,0,0,1,0,0,0,1,1,
cockatrice,0,1,0,0,0,1,0,0,0,0,
pardonner,0,0,0,0,0,0,0,0,1,0,
uncompassionate,0,0,1,0,0,0,0,0,0,0,
augmenting,0,0,0,0,0,1,0,0,0,0,
fortuned,0,0,1,0,0,0,0,0,0,0,
oerrule,1,0,0,0,0,0,0,0,0,0,
although,0,1,1,1,1,1,1,1,1,0,
son—,0,1,0,0,0,0,1,0,0,0,
shriv’d,0,0,0,0,0,1,0,0,0,0,
hue,1,0,0,1,0,0,0,0,0,0,
‘dear,0,0,0,0,0,0,0,1,0,0,
icicle,0,0,0,0,0,0,1,0,0,0,
son”,0,1,0,0,0,0,0,0,0,0,
fortunes,1,0,0,1,1,1,1,1,0,1,
forehand,0,0,0,0,0,0,0,0,1,0,
president,0,0,0,0,1,0,0,0,0,0,
basket,0,0,0,0,1,1,0,0,0,0,
hum,0,0,0,1,0,0,1,1,1,1,
promisecrammed,1,0,0,0,0,0,0,0,0,0,
died—,0,0,0,0,0,1,0,0,0,0,
envy,1,1,0,1,1,0,1,0,1,0,
reaches,1,0,0,0,0,0,0,0,0,0,
prophetess,0,1,0,0,0,0,0,0,0,0,
adventurous,1,0,0,1,0,0,0,0,0,0,
dropped,0,0,0,0,1,0,0,0,0,0,
prov’d,0,0,0,0,0,0,0,0,0,1,
melt,1,0,1,1,1,0,1,0,0,1,
kitten,0,0,0,1,0,0,0,0,0,0,
loathness,0,0,0,0,1,0,0,0,0,0,
bend,1,1,0,1,1,0,1,1,1,0,
serpentlike,0,0,0,0,0,0,0,1,0,0,
penury,0,0,0,0,0,1,0,1,0,0,
compell’d,0,0,0,0,0,0,0,0,1,0,
predominance,0,0,0,0,0,0,0,1,0,0,
belt,1,0,0,0,0,0,0,0,0,0,
bestirrd,0,0,0,1,0,0,0,0,0,0,
“be,0,1,0,0,0,0,1,0,0,0,
chop,0,1,0,0,0,0,0,0,0,1,
extemporally,0,0,0,0,1,0,0,0,0,0,
bell,1,0,0,0,1,1,0,0,0,1,
brackets,0,0,1,0,0,0,0,0,0,0,
procuring,1,0,0,0,0,0,0,0,0,0,
captains,0,0,1,0,1,0,1,0,1,1,
th’unnumber’d,0,0,0,0,0,0,0,1,0,0,
wellfavoured,0,0,1,0,0,0,0,0,0,0,
lamentation,0,1,0,0,0,1,1,0,1,0,
reached,1,0,0,1,0,0,0,0,0,0,
impression,0,1,1,0,0,0,1,0,0,0,
“ah,0,0,0,0,1,0,0,0,0,0,
discreetly,1,0,0,0,0,0,0,0,0,0,
pight,0,0,0,0,0,0,0,1,0,0,
sever’d,0,0,0,0,0,0,0,1,0,0,
anatomy,0,0,0,0,0,1,0,0,0,0,
revenue’—my,0,0,0,0,0,0,0,1,0,0,
ditties,0,0,0,1,0,0,0,0,0,0,
beggars,0,1,0,1,1,1,1,1,0,0,
tradefalln,0,0,0,1,0,0,0,0,0,0,
whereupon,0,0,0,1,0,0,0,1,0,0,
unsightly,0,0,0,0,0,0,0,1,0,0,
curtailed,1,1,0,0,0,0,0,0,0,0,
eight,1,0,0,1,1,1,1,1,1,1,
adulterers,0,0,0,0,0,0,0,1,0,0,
occulted,1,0,0,0,0,0,0,0,0,0,
madheaded,0,0,0,1,0,0,0,0,0,0,
thetis,0,0,0,0,1,0,0,0,0,0,
hereto,0,0,0,0,0,0,1,0,0,0,
horatioor,1,0,0,0,0,0,0,0,0,0,
gathers,0,0,0,0,0,0,0,1,0,0,
falconers57,1,0,0,0,0,0,0,0,0,0,
sithence,0,0,0,0,0,0,1,0,0,0,
topics,1,0,0,0,0,0,0,0,0,0,
strike,0,1,1,1,1,1,1,1,1,1,
bent,1,1,0,1,1,1,1,1,1,0,
smack,1,0,0,0,0,0,0,0,0,0,
handkerchief—,0,0,0,0,0,0,0,0,0,1,
cruelly,0,0,0,0,0,0,0,0,1,0,
mens,1,0,1,1,0,0,0,0,0,0,
beggary,0,1,0,0,1,1,0,0,0,0,
withhold,0,0,0,0,1,0,0,0,0,0,
purpos’d,0,0,0,0,0,0,0,1,0,1,
showring,0,0,0,1,0,0,0,0,0,0,
able,1,0,1,1,1,1,1,1,1,0,
swallows,0,0,0,0,1,0,0,1,0,1,
foresaid,0,0,0,0,0,0,0,0,1,0,
mend,1,0,0,1,1,1,1,1,1,1,
underhand,0,1,0,0,0,0,0,0,0,0,
codes,1,1,1,1,1,1,1,1,1,1,
concerned,1,0,0,0,1,0,0,0,0,0,
conscience,1,1,0,1,0,0,0,0,1,1,
edifices,0,0,0,0,0,0,1,0,0,0,
mercury123,1,0,0,0,0,0,0,0,0,0,
banquet,0,0,0,0,1,1,0,0,0,0,
british,0,0,0,0,0,0,0,1,0,0,
envious,1,1,0,0,0,1,0,0,0,0,
duppd,1,0,0,0,0,0,0,0,0,0,
chang’d,0,0,0,0,0,1,0,1,0,1,
blade,0,1,0,0,0,1,0,0,0,0,
apollo—,0,0,0,0,0,0,0,1,0,0,
midriff,0,0,0,1,0,0,0,0,0,0,
downloading,1,1,1,1,1,1,1,1,1,1,
chud,0,0,0,0,0,0,0,1,0,0,
international,1,1,1,1,1,1,1,1,1,1,
emblem,1,0,0,0,0,0,0,0,0,0,
wwwgutenbergorgdonate,1,1,1,1,1,1,1,1,1,1,
upward,0,0,0,0,0,0,0,1,1,0,
lordship,1,1,1,0,0,0,0,1,0,1,
filial,1,0,0,0,0,0,0,1,0,0,
cities,0,1,0,1,1,0,1,1,1,1,
friend’s,0,0,0,0,0,0,0,0,0,1,
friends,1,1,1,1,1,1,1,1,1,1,
foulfaced,0,1,0,0,0,0,0,0,0,0,
professor,1,1,1,1,1,1,1,1,1,1,
peasants,0,1,0,0,0,0,0,0,1,0,
flatteries,0,0,0,0,0,0,0,1,0,0,
whatsoe’er,0,1,0,0,0,0,0,0,0,0,
prenez,0,0,0,0,0,0,0,0,1,0,
quick’ned,0,0,0,0,0,0,0,0,1,0,
carefully—and,0,0,0,0,0,0,0,1,0,0,
present,1,1,1,1,1,1,1,1,1,1,
servicewhy,0,0,1,0,0,0,0,0,0,0,
strife,1,0,0,0,1,1,0,1,0,1,
transgression,0,0,1,0,0,1,0,0,0,0,
highengender’d,0,0,0,0,0,0,0,1,0,0,
borders,0,0,0,0,1,0,0,0,0,0,
selfsubdu’d,0,0,0,0,0,0,0,1,0,0,
fran,1,0,0,1,0,0,0,0,0,0,
soundest,0,0,0,0,0,0,0,1,0,0,
best,1,1,1,1,1,1,1,1,1,1,
mess,0,0,0,1,0,0,0,0,1,0,
wellagain,1,0,0,0,0,0,0,0,0,0,
meagre,0,0,0,0,0,1,0,0,0,0,
peerless,0,0,0,0,1,0,0,0,0,0,
remnants,0,0,0,0,0,1,0,0,0,0,
rooted,0,0,0,0,0,0,1,0,0,0,
regulating,1,1,1,1,1,1,1,1,1,1,
“do,0,0,0,0,1,0,0,0,1,0,
o’both,0,0,0,0,0,0,0,1,0,0,
pretended,0,0,1,0,0,0,0,0,0,0,
compound,0,0,0,1,0,0,1,0,1,0,
master,0,1,1,1,1,1,1,1,1,1,
garner’d,0,0,0,0,0,0,0,0,0,1,
concerning,1,1,1,1,1,1,1,1,1,1,
puzzle,0,0,0,0,1,0,0,0,0,0,
hypocrisy,0,0,0,0,0,0,0,0,0,1,
mere,1,1,1,1,1,0,1,1,0,1,
relent,0,1,0,0,0,0,0,0,0,0,
hypocrite,1,0,0,0,0,0,0,0,0,0,
erpingham,0,0,0,0,0,0,0,0,1,0,
fell’d,0,0,0,0,0,0,0,1,0,0,
